Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-11-16,1747.81,1761.51,1731.46,1741.17,26924613
2022-11-17,1744.07,1750.96,1695.8,1708.23,25406383
2022-11-18,1709.68,1726.63,1689.34,1707.23,21001372
2022-11-21,1706.43,1706.47,1683.15,1685.5,20863822
2022-11-22,1687.07,1729.95,1681.78,1717.75,18175395
2022-11-23,1724.5,1737.75,1707.01,1713.61,19222341
2022-11-24,1724.66,1753.95,1721.85,1753.95,19393501
2022-11-25,1752.36,1764.57,1736.75,1755.69,15614476
2022-11-28,1748.68,1748.84,1728.74,1728.74,19482673
2022-11-29,1740.55,1744.71,1718.31,1736.19,27851833
2022-11-30,1741.22,1756.95,1727.88,1736.26,127493895
2022-12-01,1754.83,1766.38,1741.13,1766.38,34260461
2022-12-02,1765.02,1765.02,1730.43,1733.46,27956510
2022-12-05,1738.95,1766.04,1738.95,1746.54,14516580
2022-12-06,1741.86,1741.86,1722.72,1733.59,15849699
2022-12-07,1730.5,1739.05,1720.19,1735.66,14506821
2022-12-08,1735.17,1735.41,1715.72,1725.66,14817278
2022-12-09,1730.18,1735.76,1717,1730.16,15019500
2022-12-12,1729.82,1759.39,1714.22,1755.34,14740130
2022-12-13,1758.54,1803.6,1742.11,1784.67,22169301
2022-12-14,1785.11,1793.02,1778.37,1787.37,17004527
2022-12-15,1778.9,1778.9,1746.02,1756.52,18698018
2022-12-16,1746.54,1755.89,1726.58,1741.3,41764081
2022-12-19,1739.9,1754.27,1737.5,1743.24,12353029
2022-12-20,1732.8,1763.2,1724.41,1763.2,12410849
2022-12-21,1761.88,1786.56,1754.46,1786.1,15400718
2022-12-22,1786.63,1796.05,1774.71,1780.07,10579489
2022-12-23,1778.58,1782.76,1769.41,1780.27,8034718
2022-12-27,1788.67,1792.82,1762.64,1765.87,6876220
2022-12-28,1764.3,1776.98,1757.71,1767.88,10436182
2022-12-29,1768.98,1802.2,1763.44,1802.2,10649283
2022-12-30,1797.53,1797.86,1786.56,1792.01,8999274
2023-01-02,1794.52,1811.64,1786.7,1791.47,5343204
2023-01-03,1794.13,1835.15,1791.98,1824.82,22121560
2023-01-04,1826.17,1856.63,1824.74,1855.05,19715380
2023-01-05,1851.86,1887.05,1843.35,1856.05,28214946
2023-01-09,1873.58,1912.84,1873.58,1912.47,33642083
